State,2016,2020
Alabama,Trump,Trump
Alaska,Trump,Trump
Arizona,Trump,Biden
Arkansas,Trump,Trump
California,Clinton,Biden
Colorado,Clinton,Biden
Connecticut,Clinton,Biden
Delaware,Clinton,Biden
District of Columbia,Clinton,Biden
Florida,Trump,Trump
Georgia,Trump,Biden
Hawaii,Clinton,Biden
Idaho,Trump,Trump
Illinois,Clinton,Biden
Indiana,Trump,Trump
Iowa,Trump,Trump
Kansas,Trump,Trump
Kentucky,Trump,Trump
Louisiana,Trump,Trump
Maine,Clinton,Biden
Maryland,Clinton,Biden
Massachusetts,Clinton,Biden
Michigan,Trump,Biden
Minnesota,Clinton,Biden
Mississippi,Trump,Trump
Missouri,Trump,Trump
Montana,Trump,Trump
Nebraska,Trump,Trump
Nevada,Clinton,Biden
New Hampshire,Clinton,Biden
New Jersey,Clinton,Biden
New Mexico,Clinton,Biden
New York,Clinton,Biden
North Carolina,Trump,Trump
North Dakota,Trump,Trump
Ohio,Trump,Trump
Oklahoma,Trump,Trump
Oregon,Clinton,Biden
Pennsylvania,Trump,Biden
Rhode Island,Clinton,Biden
South Carolina,Trump,Trump
South Dakota,Trump,Trump
Tennessee,Trump,Trump
Texas,Trump,Trump
Utah,Trump,Trump
Vermont,Clinton,Biden
Virginia,Clinton,Biden
Washington,Clinton,Biden
West Virginia,Trump,Trump
Wisconsin,Trump,Biden
Wyoming,Trump,Trump
